category,parameter,value,unit,notes
axi_dma,axi_masters_per_group,1,,
axi_dma,dmas_per_group,1,,
axi_dma,dma_burst_length,16,beats,Derived from group/bank geometry
axi_dma,l2_base,2147483648,decimal,0x80000000
core_isa,xpulpimg,1,,Enabled
core_isa,zfinx,1,,Enabled
core_isa,zquarterinx,0,,Disabled
core_isa,xDivSqrt,0,,Disabled
core_isa,num_divsqrt_per_tile,1,,Default when xDivSqrt enabled
cache,icache_size_per_core,512,bytes,
cache,icache_size_per_tile,2048,bytes,512 B x 4 cores
cache,ro_cache_size,8192,bytes,8 KiB
cache,ro_cache_ways,2,ways,
cache,ro_cache_line_width,512,bits,
sequential_mem,seq_mem_size,512,bytes per core,Power-of-two
sequential_mem,stack_size,512,bytes per core,
sequential_mem,boot_addr,2684354560,decimal,0xA0000000
latency,remote_group_latency_cycles,7,cycles,RemoteGroupLatencyCycle default; lightly used in RTL
latency,l2_axi_cut_mst_ports,true,,Some AXI paths add 1-cycle pipeline (CUT_MST_PORTS)
bench_variant,fig8_teranoc_req_rd,1,channels,Primary config (matches default terapool narrow)
bench_variant,fig8_teranoc_req_rdwr,1,channels,
bench_variant,fig8_teranoc_resp,2,channels,
bench_variant,fig8_teranoc_remapping,3,,
bench_variant,base_rmpoff_req_rd,0,channels,Baseline comparison config
bench_variant,base_rmpoff_req_rdwr,2,channels,
bench_variant,base_rmpoff_resp,2,channels,
bench_variant,base_rmpoff_remapping,0,,
bench_variant,base_rmp4_req_rd,0,channels,Baseline + remapping comparison config
bench_variant,base_rmp4_req_rdwr,2,channels,
bench_variant,base_rmp4_resp,2,channels,
bench_variant,base_rmp4_remapping,3,,
source_file,architecture,config/terapool.mk,,
source_file,global_defaults,config/config.mk,,
source_file,axi_mesh_topology,config/floo_noc_terapool.yml,,
source_file,bench_sweeps,hardware/scripts/bench_config.json,,
source_file,rtl_parameters,hardware/src/mempool_pkg.sv,,
